strain,accession,subtype,date,host,country,region,species,broad,order
A/Siena/6/1991|1991-12-24,CY035230,H3N2,1991-12-24,Human,Italy,Europe,Human,human,Human
A/Singapore/3/1993|1993-01-06,CY113445,H3N2,1993-01-06,Human,Singapore,Southeast Asia,Human,human,Human
A/Singapore/C2011.173/2011|2011-03-04,KF014205,H3N2,2011-03-04,Human,Singapore,Southeast Asia,Human,human,Human
A/Singapore/H2012.490/2012|2012-06-27,KM069568,H3N2,2012-06-27,Human,Singapore,Southeast Asia,Human,human,Human
A/Singapore/H2013.529/2013|2013-07-12,KM069593,H3N2,2013-07-12,Human,Singapore,Southeast Asia,Human,human,Human
A/Singapore/NHRC_RGN0212/2017|2017-07-04,MG279238,H3N2,2017-07-04,Human,Singapore,Southeast Asia,Human,human,Human
A/Singapore/S2009.367a/2009|2009-05-14,KM069485,H3N2,2009-05-14,Human,Singapore,Southeast Asia,Human,human,Human
A/South_Australia/15/1994|1994-06-03,CY112749,H3N2,1994-06-03,Human,Australia,Oceania,Human,human,Human
A/South_Australia/89/2018|2018-09-25,MN571223,H3N2,2018-09-25,Human,Australia,Oceania,Human,human,Human
A/South_Korea/8668/2019|2019-01-12,MK869539,H3N2,2019-01-12,Human,South Korea,Japan Korea,Human,human,Human
A/Sydney/DD2-01/2010|2010-09-13,CY090869,H3N2,2010-09-13,Human,Australia,Oceania,Human,human,Human
A/Taipei/0095/2016|2016-12-22,KY949971,H3N2,2016-12-22,Human,Taiwan,China,Human,human,Human
A/TayNguyen/TN152/2003|2003-09-18,CY104084,H3N2,2003-09-18,Human,Vietnam,Southeast Asia,Human,human,Human
A/TayNguyen/TN332/2005|2005-06-14,CY105470,H3N2,2005-06-14,Human,Vietnam,Southeast Asia,Human,human,Human
A/Texas/1/1977|1977-01-01,CY120992,H3N2,1977-01-01,Human,Usa,North America,Human,human,Human
A/Texas/6982/2018|2018-01-04,MK381514,H3N2,2018-01-04,Human,Usa,North America,Human,human,Human
A/Texas/NHRC0002/2005|2005-12-19,CY091021,H3N2,2005-12-19,Human,Usa,North America,Human,human,Human
A/Thailand/B29296/2018|2018-10-30,MN561353,H3N2,2018-10-30,Human,Thailand,Southeast Asia,Human,human,Human
A/Tomsk/243/2018|2018-12-12,MK495333,H3N2,2018-12-12,Human,Russia,West Asia,Human,human,Human
A/udorn/1972|1972-01-01,CY009636,H3N2,1972-01-01,Human,Russia,West Asia,Human,human,Human
A/Udorn/307/1972|1972-01-01,AX350190,H3N2,1972-01-01,Human,Russia,West Asia,Human,human,Human
A/Vermont/22/2019|2019-03-30,MN085256,H3N2,2019-03-30,Human,Usa,North America,Human,human,Human
A/Victoria/104/1993|1993-09-03,CY112677,H3N2,1993-09-03,Human,Australia,Oceania,Human,human,Human
A/Victoria/12/2016|2016-06-18,CY254385,H3N2,2016-06-18,Human,Australia,Oceania,Human,human,Human
A/Victoria/147/2012|2012-07-24,CY251215,H3N2,2012-07-24,Human,Australia,Oceania,Human,human,Human
A/Victoria/16/2015|2015-07-09,CY253066,H3N2,2015-07-09,Human,Australia,Oceania,Human,human,Human
A/Victoria/3/1975|1975-04-01,V01098,H3N2,1975-04-01,Human,Australia,Oceania,Human,human,Human
A/Victoria/5006/2014|2014-08-25,CY252055,H3N2,2014-08-25,Human,Australia,Oceania,Human,human,Human
A/Victoria/504/2013|2013-06-17,CY251495,H3N2,2013-06-17,Human,Australia,Oceania,Human,human,Human
A/Victoria/68/1992|1992-07-17,CY113949,H3N2,1992-07-17,Human,Australia,Oceania,Human,human,Human
A/Victoria/75/1995|1995-07-27,CY112813,H3N2,1995-07-27,Human,Australia,Oceania,Human,human,Human
A/Victoria/JY2/1968|1968-01-01,CY146809,H3N2,1968-01-01,Human,Australia,Oceania,Human,human,Human
A/Virginia/30/2017|2017-08-30,CY244894,H3N2,2017-08-30,Human,Usa,North America,Human,human,Human
A/Waikato/1/2005|2005-01-25,CY014015,H3N2,2005-01-25,Human,New Zealand,Oceania,Human,human,Human
