rep,simple_rate,mle_rate
0,0.1488907313320965,0.16700495022462641
1,0.16061711781720517,0.18695553129135736
2,0.1615720352834192,0.18641540174859272
3,0.1567974479523489,0.17900633769502564
4,0.16569727873746395,0.19641871778812836
5,0.16088449470774507,0.1858855353582126
6,0.15102974645641598,0.1703752569676227
7,0.1638256405036844,0.19046152911547834
8,0.16222137916044477,0.18741021159682472
9,0.1597767904469368,0.18411003451943886
10,0.1596622003509911,0.1840155453773682
11,0.1589364630766684,0.18257666063292283
12,0.14938728841452778,0.16770464518958852
13,0.16206859236585053,0.19009638400501505
14,0.1601587574334224,0.18426364803586226
15,0.161151871598285,0.18622457264937645
16,0.1699371122874544,0.20213677988548182
17,0.15970039704963965,0.18407335222323556
18,0.16298531313341602,0.191456326331279
19,0.1466371261118313,0.16381871040486973
20,0.1597385937482882,0.1840075702821789
21,0.1589364630766684,0.1841920581163364
22,0.1485469610442594,0.166586938352836
23,0.16298531313341602,0.18926909855266705
24,0.16367285370909013,0.19165626015246934
25,0.15156450023749582,0.17081039868216183
26,0.14946368181182493,0.16827559615831766
27,0.15744679182937446,0.18042558485646365
28,0.1696315386982659,0.19965638306455172
29,0.16714875328610934,0.19618090087442838
30,0.15267220449830415,0.17361372679507509
31,0.16478055796989846,0.1914883296260532
32,0.1639402305996301,0.1904594428073229
33,0.1595476102550454,0.1836106922014629
34,0.16271793624287606,0.18881450041071232
35,0.16607924572394958,0.19529915065855322
36,0.16050252772125947,0.18498658287356906
37,0.16332908342125307,0.18951273674579128
38,0.15981498714558534,0.18571442569162394
39,0.16405482069557578,0.19084445617218831
40,0.16210678906449907,0.1876445394609254
41,0.16390203390098151,0.19179390454387624
42,0.14392516050778334,0.16003519147372328
43,0.15882187298072273,0.18242456777998867
44,0.1601587574334224,0.18486527965875757
45,0.16042613432396233,0.1856083718991572
46,0.1602351508307195,0.18462143920158397
47,0.1566064644591061,0.17927340845764617
48,0.16600285232665246,0.1936172294732288
49,0.15843990599423707,0.18212665921385515
50,0.15102974645641598,0.16887492824886557
51,0.16367285370909013,0.19070833677521032
52,0.1614956418861221,0.18768348153560885
53,0.16317629662665883,0.19093447174633577
54,0.14675171620777697,0.16421771633396953
55,0.16741613017664927,0.19824026327538935
56,0.16569727873746395,0.19339131250714156
57,0.1501894190861476,0.16842747961594795
58,0.1635200669144959,0.18974052754721188
59,0.15653007106180897,0.1791868729483674
60,0.15851629939153422,0.18162549255231442
61,0.16413121409287287,0.19228075097612465
62,0.15714121824018595,0.18121435830875607
63,0.15572794039018914,0.17832186991393947
64,0.16325269002395595,0.18984041978641067
65,0.1603497409266652,0.18464258300386005
66,0.15882187298072273,0.18251348597363679
67,0.15129712334695591,0.17081503909344348
68,0.16222137916044477,0.1880519301304674
69,0.1661556391212467,0.1949703557028165
70,0.16054072441990802,0.1857528361615539
71,0.16153383858477063,0.18825348683897153
72,0.1646277711753042,0.19186591986449436
73,0.16363465701044158,0.19002024952178628
74,0.15175548373073866,0.17132095178918375
