host	avian	#b2182b
host	swine	#2166ac
host	equine	#de77ae
host	feline	#f4a582
host	canine	#8c510a
host	camel	#a1d76a
host	donkey	#d8b365
host	seal	#eba2cc
host	human	#92c5de
host	mink	#9970ab
order	galliformes	#238b45
order	swine	#2166ac
order	neoave	#67000d
order	avian	#fb6a4a
order	canine	#8c510a
order	equine	#de77ae
order	seal	#eba2cc
order	mink	#9970ab
order	feline	#f4a582
order	anseriformes	#b2182b
order	camel	#a1d76a
order	human	#92c5de
subtype	h3n2	#b2182b
subtype	h3n8	#2166ac
subtype	h3n6	#de77ae
subtype	h3n1	#f4a582
subtype	h3	#8c510a
subtype	h3n3	#a1d76a
subtype	h3n7	#d8b365
subtype	h3n5	#c51b7d
subtype	h3n5	#92c5de
subtype	h3n9	#9970ab
subtype	h3n4	#a6dba0
