rep,simple_rate,mle_rate
0,0.3464658580585554,0.574476143534591
1,0.3340716473960314,0.5108209750272954
2,0.3413174936295069,0.5469521936785403
3,0.3357877688723808,0.515342813998831
4,0.3537117042920309,0.7001247912078155
5,0.3455124572383612,0.5738454186519852
6,0.336741169692575,0.5196907000357965
7,0.3466565382225942,0.5960960881322778
8,0.3371225300206527,0.5221858205649553
9,0.3561905464245358,0.7785472997399773
10,0.349135380355099,0.6736783873739169
11,0.3458938175664389,0.6032099163600617
12,0.3485633398629825,0.6316350789373614
13,0.33635980936449733,0.5182644335975337
14,0.33330892673987605,0.5100696186218466
15,0.3188172342729249,0.44432804861782704
16,0.3472285787147107,0.5938762953128037
17,0.32816056231082763,0.4837134427176355
18,0.3498981010112543,0.6391407145554322
19,0.3464658580585554,0.6198377788923255
20,0.32129607640542973,0.45328477397068356
21,0.3407454531373904,0.5330538823781266
22,0.349135380355099,0.6777023960055113
23,0.36191095134570067,0.8382193952511804
24,0.31900791443696375,0.4457866757727847
25,0.3422708944497011,0.5562037064019032
26,0.32816056231082763,0.4872393420142134
27,0.3508515018314485,0.6782129438453728
28,0.3458938175664389,0.5882301619143157
29,0.33388096723199256,0.513367741178324
30,0.3497074208472155,0.6779215348617618
31,0.3607668703614677,0.8271911376763146
32,0.33655048952853617,0.5198309703209744
33,0.3802162470934284,1.2759970815894763
34,0.33369028706795373,0.5084295748249971
35,0.3445590564181671,0.5671899134302075
36,0.3548557852762639,0.7093173206591432
37,0.3331182465758372,0.5040784150252652
38,0.33655048952853617,0.5158974657338663
39,0.3672499959387879,0.9959391880507542
40,0.3556185059324193,0.7191982061838024
41,0.3354064085443032,0.5124262430442963
42,0.376211963648613,1.1856695796358228
43,0.3331182465758372,0.5043053645440858
44,0.36191095134570067,0.8241453438634132
45,0.3359784490364197,0.5193731783594251
46,0.346847218386633,0.5935488485623839
47,0.3500887811752932,0.641592329270896
48,0.3273978416546723,0.47689322607297857
49,0.3426522547777787,0.5631697962940952
50,0.3485633398629825,0.627297051077369
51,0.32644444083447816,0.47243327510044536
52,0.3527583034718368,0.7013265567856815
53,0.3403640928093128,0.5356649343029477
54,0.3573346274087687,0.7820561098488138
55,0.32263083755370153,0.45784194285033497
56,0.3331182465758372,0.5042468162990416
57,0.33464368788814786,0.5112811399829252
58,0.3794535264372731,1.3292710672436105
59,0.3464658580585554,0.5906592800446429
60,0.3188172342729249,0.4450639122050992
61,0.3584787083930017,0.8100446853919528
62,0.3630550323299337,0.9173717856326138
63,0.32282151771774037,0.4622853444894627
64,0.3407454531373904,0.5424872273186486
65,0.3453217770743224,0.5710656679668292
66,0.3436056555979729,0.5587036032991272
