rep,simple_rate,mle_rate,NA_rate,NP_rate,NS_rate,PB1_rate,PB2_rate,MP_rate,PA_rate
0,0.14276052385832996,0.18146165102903605,0.0571864922660169,0.03126743462026823,0.04772397915725152,0.02591905764574867,0.03497015714108947,0.01789649218396932,0.023450575965201174
1,0.14039489558113863,0.17755277690324267,0.057392199072729196,0.031473141426980523,0.04669544512369005,0.02468481680547492,0.03250167546054198,0.019130733024243063,0.023656282771913464
2,0.14666895318586348,0.18986388206889176,0.057392199072729196,0.03394162310752802,0.049575340417662137,0.025096230418899506,0.039701413695472164,0.021599214704790554,0.02406769638533805
3,0.1439947646986037,0.18493032491515424,0.05759790587944149,0.03332450268739114,0.04895821999752526,0.02468481680547492,0.03497015714108947,0.021187801091365973,0.02406769638533805
4,0.14492044532880902,0.18605228821991227,0.0571864922660169,0.030650314200131357,0.04669544512369005,0.02859324613300845,0.035587277561226344,0.02221633512492743,0.023656282771913464
5,0.14054819412102484,0.18360027022459982,0.056753915987421875,0.030844519558381453,0.04955686142379954,0.024675615646705167,0.03022762916721383,0.02200242395164544,0.022208054082034644
6,0.14373546114205757,0.1893742710160619,0.056753915987421875,0.030844519558381453,0.04976249155418875,0.024675615646705167,0.03536838242694407,0.023853095125148324,0.022208054082034644
7,0.14502329873216516,0.18656658448961083,0.0571864922660169,0.031884555040405105,0.04834109957738839,0.02653617806588554,0.03517586394780176,0.022422041931639717,0.02406769638533805
8,0.14769748721942494,0.19281177535868824,0.06150633520697501,0.03394162310752802,0.04669544512369005,0.02674188487259783,0.03620439798136322,0.021187801091365973,0.025096230418899506
9,0.14234911024490537,0.1810220119742598,0.057392199072729196,0.031473141426980523,0.049575340417662137,0.025096230418899506,0.03353020949410344,0.021187801091365973,0.023656282771913464
10,0.14522900553887746,0.18636581606662114,0.05862643991300294,0.03126743462026823,0.05224952890492191,0.025301937225611793,0.032707382267254274,0.025507644032324084,0.02406769638533805
11,0.14049774898449474,0.1779670828914797,0.0571864922660169,0.031884555040405105,0.049781047224374424,0.02468481680547492,0.031473141426980523,0.017485078570544734,0.023656282771913464
12,0.14245196364826151,0.18115143502555486,0.057392199072729196,0.03126743462026823,0.04895821999752526,0.02468481680547492,0.034147329914240306,0.01995356025109223,0.023656282771913464
13,0.1480060474294934,0.19130345066117393,0.0571864922660169,0.034147329914240306,0.04751827235053922,0.025301937225611793,0.037850052435061544,0.025301937225611793,0.024273403192050336
14,0.143480497681823,0.18347342735237324,0.057392199072729196,0.031473141426980523,0.04669544512369005,0.02468481680547492,0.03846717285519842,0.01789649218396932,0.023656282771913464
15,0.1475946338160688,0.1908843826607754,0.05759790587944149,0.03332450268739114,0.052455235711634206,0.02447910999876263,0.03497015714108947,0.028798952939720745,0.023450575965201174
