rep,simple_rate,mle_rate
0,0.35113810166010284,0.5822229901301247
1,0.3385767496469456,0.5177105601265732
2,0.34592030928540674,0.5543275256331538
3,0.3403160137718443,0.5222922961828886
4,0.35848166129856396,0.7095672428042029
5,0.35017184381293687,0.5815840991144174
6,0.3412822716190102,0.526699047386055
7,0.35133135322953596,0.6041347251136427
8,0.3416687747578766,0.5292281708735839
9,0.3609939317011954,0.7890468856677207
10,0.3538436236321674,0.682762946140326
11,0.35055834695180327,0.6113439975123692
12,0.35326386892386785,0.6401523607442656
13,0.34089576848014386,0.5252536463906341
14,0.3378037433692128,0.5169474612335805
15,0.3231166240922905,0.45031997898672016
16,0.35191110793783553,0.6018845853975612
17,0.33258595099451677,0.4902364876577417
18,0.35461662990990017,0.6477597997239154
19,0.35113810166010284,0.6281968185474543
20,0.325628894494922,0.45939734047849085
21,0.34534055457710716,0.5402419960987962
22,0.3538436236321674,0.6868419912518545
23,0.36679147878419105,0.8495223622395728
24,0.32330987566172376,0.45179843390819346
25,0.34688656713257265,0.5637045078394182
26,0.33258595099451677,0.4938096828446063
27,0.35558288775706615,0.6873596734392465
28,0.35055834695180327,0.5961630345645476
29,0.3383834980775124,0.5202905817967652
30,0.35442337834046705,0.6870646606943647
31,0.36563196936759196,0.8383458616422265
32,0.34108902004957703,0.5268406657729715
33,0.3853436294497771,1.2932057553001581
34,0.3381902465080792,0.5152858966219672
35,0.34920558596577095,0.5748378888589178
36,0.35964117071516305,0.7188831907038855
37,0.33761049179977964,0.5108758692001105
38,0.34108902004957703,0.522854953688196
39,0.3722025227283203,1.009369597040728
40,0.36041417699289585,0.7288976765972457
41,0.3399295106329779,0.5193365670682331
42,0.38128534649168017,1.2016594821791835
43,0.33761049179977964,0.5111060000882541
44,0.36679147878419105,0.8352592276775653
45,0.3405092653412775,0.526377125633241
46,0.3515246047989692,0.6015530131560114
47,0.3548098814793334,0.6502446775239831
48,0.331812944716784,0.4833241300871488
49,0.34727307027143905,0.5707653252793128
50,0.35326386892386785,0.635756323492589
51,0.33084668686961805,0.4788044163482784
52,0.35751540345139804,0.7107843985146723
53,0.34495405143824076,0.5428890399262253
54,0.3621534411177945,0.7926021363320774
55,0.3269816554809543,0.46401629556041235
56,0.33761049179977964,0.5110463081567147
57,0.33915650435524514,0.5181761755089597
58,0.3845706231720444,1.3471964249294361
59,0.35113810166010284,0.5986246812756316
60,0.3231166240922905,0.4510656538470273
61,0.3633129505343937,0.8209689138952754
62,0.3679509882007902,0.9297421818133875
63,0.3271749070503875,0.4685195507434427
64,0.34534055457710716,0.5498036231704825
65,0.34997859224350364,0.5787664935986706
66,0.348239328118605,0.5662383801510851
67,0.33567797610544775,0.5067899678451496
68,0.3785798245196156,1.1432745586471647
69,0.34804607654917186,0.5669536535592582
70,0.3490123343963377,0.5710866525650771
71,0.345147303007674,0.5560977376936216
72,0.335871227674881,0.5071989326837126
73,0.35442337834046705,0.6523576061268982
74,0.3304601837307517,0.47857285125329574
75,0.33896325278581196,0.5177453102396573
76,0.3633129505343937,0.7376783123153837
77,0.3329724541333831,0.48193156662329684
78,0.34804607654917186,0.5699742514576543
79,0.3561626424653657,0.6995405464833594
80,0.34244178103560935,0.5337536503131232
81,0.3372239886609133,0.5131183385350854
82,0.32794791332812023,0.47421998790712544
83,0.37722706353358326,1.12790272334563
84,0.34089576848014386,0.5264358332266984
85,0.35055834695180327,0.5960667957285118
86,0.3439877935910749,0.5355602156441396
87,0.35191110793783553,0.604917613938239
88,0.3470798187020059,0.5612130968529623
89,0.3370307370914801,0.5107061864895834
90,0.36176693797892817,0.8154644374245343
91,0.3528773657850015,0.5873898954179315
92,0.35365037206273425,0.633549751390034
93,0.3397362590635447,0.5186737195242174
94,0.3412822716190102,0.524269932493564
95,0.3383834980775124,0.5138511722397658
96,0.342055277896743,0.5313477481769341
97,0.3660184725064583,0.8600340627726314
98,0.35113810166010284,0.595767748941686
99,0.3474663218408723,0.5542649997151671
