rep,simple_rate,mle_rate,NA_rate,NP_rate,NS_rate,PB1_rate,PB2_rate,MP_rate,PA_rate
0,0.16475155839558078,0.18479542069001842,0.055959739177975615,0.04328003996846452,0.06035536823727279,0.031361122711524095,0.040152380830118455,0.027472681620607363,0.04235019535976704
1,0.1777271172533138,0.20687120789131386,0.06318716772739694,0.048859107620649406,0.06035536823727279,0.037193784347899196,0.046238636450683775,0.03512276681034572,0.04860551363645918
2,0.17878375885410636,0.2062735092454266,0.06043989956533619,0.04759113769969829,0.05781942839537057,0.04260378934395727,0.048859107620649406,0.03546089212259935,0.05452270660089769
3,0.17350055085014343,0.19807521497918032,0.05841114769181443,0.04446347856135222,0.057312240426990124,0.04192753871945,0.04911270160483962,0.030008621462509582,0.05257848605543932
4,0.1833484505695304,0.2173427383757792,0.06293357374320671,0.04792926301195192,0.0638634183519042,0.05240942339931251,0.05063426550998095,0.03347440591310928,0.053001142695756356
5,0.1780229769015357,0.2056872085658605,0.06077802487758983,0.05021160886966392,0.05883380433213146,0.04378722793684497,0.04733754371550807,0.03398159388148972,0.05021160886966392
6,0.1671184355813562,0.1885246286278212,0.057058646442799905,0.04057503747043549,0.05604427050603902,0.03634847106726513,0.04404082192103519,0.02781080693286099,0.04860551363645918
7,0.18127743303197688,0.21075089238639347,0.06077802487758983,0.053085674023819765,0.06035536823727279,0.041166756766879344,0.049788952229346886,0.03879987958110393,0.052155829415122285
8,0.17950227514264533,0.20737434616002226,0.06103161886178005,0.0523248920712491,0.056213333162165834,0.0418430073913866,0.047253012387444664,0.03778550364434305,0.054100049960580654
9,0.1767972726446163,0.20372263761500609,0.06077802487758983,0.048182856996142144,0.05773489706730717,0.03770097231627964,0.04928176426096644,0.032544561304411794,0.05545255120959517
10,0.1766704756525212,0.20361815552148851,0.06120068151790686,0.05088785949417118,0.05739677175505354,0.0395606615336746,0.04615410512262037,0.03406612520955313,0.050972390822234585
11,0.17586742803591884,0.20202604905244445,0.05976364894082894,0.05147957879061503,0.05739677175505354,0.04547785449811311,0.04835191965226896,0.030853934743143654,0.04784473168388852
12,0.1653010120279929,0.18556950836083808,0.05646692714635606,0.0407441001265623,0.05562161386572198,0.031361122711524095,0.039898786845928236,0.03448878184987016,0.045308791841986294
13,0.17933321248651854,0.21034685529970026,0.06251091710288967,0.04733754371550807,0.06369435569577737,0.0418430073913866,0.048859107620649406,0.03406612520955313,0.04860551363645918
14,0.17721992928493333,0.20389266010274884,0.05832661636375101,0.04801379434001533,0.06094708753371664,0.04395629059297178,0.047253012387444664,0.035080501146314017,0.048098325668078735
15,0.17831883654975764,0.20606240290518754,0.059256460972448494,0.049958014885473696,0.060186305581145974,0.04590051113843015,0.048182856996142144,0.03271362396053862,0.051902235430932066
16,0.18803993927704948,0.22366968284895103,0.0615810724941922,0.05147957879061503,0.06804771909104285,0.04260378934395727,0.05333926800800999,0.04251925801589386,0.05545255120959517
17,0.1767127413165529,0.2036820833151999,0.061327478510001976,0.048182856996142144,0.058918335660194866,0.041251288094942745,0.04750660637163488,0.032206435992158174,0.05240942339931251
18,0.1803475884232794,0.21185132534855858,0.06234185444676286,0.046914887075191036,0.06745599979459901,0.03744737833208942,0.047253012387444664,0.03579901743485298,0.04987348355741029
19,0.16225788421771026,0.1812699852564626,0.05646692714635606,0.040997694110752526,0.05638239581829265,0.02814893224511462,0.039898786845928236,0.026627368339973288,0.04573144848230334
20,0.17675500698058458,0.20360930128439633,0.06069349354952642,0.04759113769969829,0.05739677175505354,0.04167394473525978,0.04961988957322006,0.03322081192891906,0.05257848605543932
21,0.17586742803591884,0.2038134904843977,0.06293357374320671,0.04683035574712763,0.05832661636375101,0.036855659035645576,0.0476756690277617,0.03431971919374335,0.049788952229346886
22,0.16437116741929544,0.18433265528584347,0.05739677175505354,0.04057503747043549,0.05477630058508791,0.03440425052180676,0.039898786845928236,0.027641744276734177,0.04640769910681059
23,0.1803475884232794,0.2094310316775005,0.0615810724941922,0.04826738832420555,0.05832661636375101,0.03939159887754779,0.049028170276776216,0.04454800988941563,0.04936629558902984
24,0.18110837037585006,0.212072723280709,0.06327169905546035,0.053170205351883174,0.060186305581145974,0.04497066652973267,0.04945082691709325,0.032375498648284984,0.05147957879061503
25,0.1677101548778,0.18900643712428686,0.056974115114736504,0.04378722793684497,0.05748130308311695,0.036855659035645576,0.04235019535976704,0.027979869588987807,0.04581597981036674
26,0.16538554335605635,0.18620113342466688,0.05655145847441946,0.040997694110752526,0.05638239581829265,0.03761644098821623,0.04167394473525978,0.026204711699656255,0.04742207504357148
27,0.17421906713868238,0.19964573130515856,0.06060896222146302,0.043195508640401115,0.05553708253765858,0.03981425551786482,0.04911270160483962,0.03579901743485298,0.04759113769969829
28,0.18770181396479582,0.22092514093848276,0.060017242925019164,0.050042546213537105,0.062130526126604343,0.04742207504357148,0.057058646442799905,0.043195508640401115,0.0557906765218488
29,0.1849545458027351,0.21707926375552467,0.061116150189843454,0.054860831913151324,0.06170786948628731,0.038292691612723494,0.05638239581829265,0.039307067549484376,0.0535083306641368
30,0.16893585913471942,0.19210808642543697,0.05967911761276553,0.04260378934395727,0.060186305581145974,0.033305343256982464,0.040152380830118455,0.031107528727333876,0.04683035574712763
31,0.1823340746327695,0.21188709949499052,0.06027083690920938,0.04776020035582511,0.06204599479854094,0.04497066652973267,0.05071879683804437,0.0372360500119309,0.05435364394477088
32,0.181404230024072,0.21074847430564242,0.06077802487758983,0.05240942339931251,0.059256460972448494,0.03770097231627964,0.052832080039629546,0.03698245602774068,0.052832080039629546
33,0.17654367866042608,0.20317022098682683,0.06043989956533619,0.048774576292586,0.054945363241214726,0.04040597481430868,0.049788952229346886,0.03465784450599698,0.05147957879061503
34,0.18005172877505748,0.2089281963209425,0.0615810724941922,0.048182856996142144,0.06306037073530182,0.03660206505145535,0.04683035574712763,0.03740511266805772,0.051733172774805256
35,0.1837711072098474,0.21610365235078893,0.05976364894082894,0.05156411011867843,0.0651313882728553,0.04344910262459133,0.055875207849912206,0.03579901743485298,0.049028170276776216
