rep,simple_rate,mle_rate,NA_rate,NP_rate,NS_rate,PB1_rate,PB2_rate,MP_rate,PA_rate
0,0.3452553173076469,0.5724683654961839,0.11552847161422637,0.07030515542313118,0.16170185747320173,0.06232457021293791,0.0672649324859147,0.05700418007280907,0.11096813720840165
1,0.33290441162520495,0.5090360671871886,0.1181886666842908,0.07144523902458737,0.1408003247798384,0.06232457021293791,0.069165071821675,0.05054370633122404,0.1056477470682728
2,0.3401249411010941,0.5450409274946677,0.11970877815289906,0.07068518329028324,0.15486135586446464,0.06042443087717761,0.06650487675161058,0.056244124338504946,0.10450766346681663
3,0.3346145370273892,0.5135420234412262,0.12464914042587583,0.07144523902458737,0.1408003247798384,0.06232457021293791,0.06840501608737087,0.05320390140128846,0.10488769133396869
4,0.35247584678353605,0.6976792767466214,0.11894872241859492,0.06992512755597913,0.1854535991702055,0.06194454234578586,0.0672649324859147,0.054724012869896706,0.10488769133396869
5,0.3443052476397668,0.5718409710538932,0.12806939123024436,0.06992512755597913,0.16170185747320173,0.06118448661148173,0.06612484888445852,0.056244124338504946,0.10374760773251251
6,0.3355646066952694,0.5178751808450538,0.11780863881713874,0.0710652111574353,0.14346051984990282,0.06194454234578586,0.06802498822021882,0.056244124338504946,0.1056477470682728
7,0.3454453312412229,0.5940131462271663,0.12008880602005109,0.0672649324859147,0.1691124008826669,0.06194454234578586,0.0672649324859147,0.05700418007280907,0.10450766346681663
8,0.33594463456242146,0.5203615992527603,0.11552847161422637,0.06992512755597913,0.14764082638857548,0.06194454234578586,0.0672649324859147,0.055484068604200826,0.10450766346681663
9,0.3549460279200245,0.7758264628077188,0.11970877815289906,0.07144523902458737,0.19077398931033435,0.06194454234578586,0.06650487675161058,0.049783650596919915,0.10488769133396869
10,0.34791551237771134,0.671324551042585,0.12806939123024436,0.06992512755597913,0.17595290249140397,0.060044403010025546,0.0672649324859147,0.05700418007280907,0.10450766346681663
11,0.3446852755069188,0.6011019538155818,0.11780863881713874,0.07144523902458737,0.16930241481624292,0.06194454234578586,0.0672649324859147,0.05320390140128846,0.10488769133396869
12,0.34734547057698323,0.6294276159559612,0.11894872241859492,0.0710652111574353,0.1748128188899478,0.06688490461876263,0.0672649324859147,0.05168378993268022,0.10450766346681663
13,0.3351845788281173,0.5164535397560723,0.12046883388720317,0.07068518329028324,0.14308049198275075,0.06194454234578586,0.06802498822021882,0.05738420793996113,0.10450766346681663
14,0.3321443558909008,0.5082864926261084,0.11552847161422637,0.0710652111574353,0.14346051984990282,0.06194454234578586,0.06612484888445852,0.05130376206552816,0.10450766346681663
15,0.3177032969391225,0.4427757157939635,0.11704858308283463,0.0710652111574353,0.10032735692814396,0.061564514478633786,0.0672649324859147,0.05814426367426525,0.10450766346681663
16,0.346015373041951,0.5918008593951799,0.12008880602005109,0.06992512755597913,0.1672122615469066,0.06232457021293791,0.06612484888445852,0.05130376206552816,0.11362833227846608
17,0.32701397968434803,0.4820233579256924,0.11780863881713874,0.07144523902458737,0.12407909862514774,0.06080445874432967,0.0672649324859147,0.056244124338504946,0.10488769133396869
18,0.34867556811201544,0.6369078411647608,0.11932875028574698,0.0710652111574353,0.17557287462425192,0.06232457021293791,0.06840501608737087,0.056244124338504946,0.10488769133396869
19,0.3452553173076469,0.6176727432626978,0.12882944696454848,0.06992512755597913,0.17063251235127516,0.06042443087717761,0.06612484888445852,0.05168378993268022,0.10450766346681663
20,0.3201734780756109,0.45170129284781213,0.11894872241859492,0.07144523902458737,0.10526771920112074,0.06118448661148173,0.06650487675161058,0.05700418007280907,0.10450766346681663
21,0.339554899300366,0.5311911612530701,0.11932875028574698,0.07144523902458737,0.1438405477170549,0.06080445874432967,0.0672649324859147,0.056244124338504946,0.11514844374707432
22,0.34791551237771134,0.6753352289152178,0.12920947483170056,0.0710652111574353,0.17899312542862048,0.05928434727572143,0.0672649324859147,0.05320390140128846,0.10450766346681663
23,0.3606464459273054,0.8352894081628558,0.13985025511195825,0.07144523902458737,0.19134403111106246,0.06992512755597913,0.06650487675161058,0.056244124338504946,0.10412763559966455
24,0.31789331087269856,0.4442291692289144,0.11932875028574698,0.06992512755597913,0.09614705038947129,0.06194454234578586,0.0672649324859147,0.056244124338504946,0.10602777493542487
25,0.34107501076897423,0.5542603696261458,0.11970877815289906,0.06992512755597913,0.15828160666883317,0.06194454234578586,0.0672649324859147,0.05738420793996113,0.10374760773251251
